Generation,Best,Average,Min
1,7.666666666666667,2.143,0.0
2,8.333333333333334,2.299666666666667,0.0
3,13.666666666666666,2.436,0.0
4,32.0,2.516,0.6666666666666666
5,24.333333333333332,2.669,0.0
6,29.0,3.473666666666667,0.0
7,43.333333333333336,4.971,0.6666666666666666
8,42.0,7.696,1.0
9,47.666666666666664,11.972333333333333,1.0
10,54.666666666666664,17.453,1.3333333333333333
11,57.666666666666664,22.154666666666664,1.6666666666666667
12,58.333333333333336,26.323,1.6666666666666667
13,66.33333333333333,27.534333333333336,1.6666666666666667
14,127.66666666666667,28.6,3.0
15,117.0,29.831666666666663,1.3333333333333333
16,133.66666666666666,30.91,1.3333333333333333
17,158.33333333333334,33.345333333333336,1.6666666666666667
18,136.0,35.87166666666666,1.6666666666666667
19,171.0,39.592,1.3333333333333333
20,141.33333333333334,43.098666666666674,1.6666666666666667
21,159.66666666666666,45.06,1.6666666666666667
22,139.66666666666666,47.57233333333333,1.0
23,154.66666666666666,49.80466666666666,2.0
24,155.33333333333334,51.720666666666666,1.6666666666666667
25,144.66666666666666,51.955,2.6666666666666665
26,169.0,52.53266666666667,2.0
27,153.0,56.67333333333333,2.0
28,151.33333333333334,54.570666666666675,2.0
29,126.0,52.953,4.333333333333333
30,166.33333333333334,56.565,2.0
31,161.0,57.69033333333333,2.0
32,159.0,54.84766666666666,2.3333333333333335
33,160.0,55.85433333333334,3.3333333333333335
34,169.33333333333334,58.66933333333333,3.6666666666666665
35,201.66666666666666,58.18,2.3333333333333335
36,158.0,58.39033333333333,1.3333333333333333
37,179.33333333333334,64.877,3.0
38,247.33333333333334,66.931,1.6666666666666667
39,180.33333333333334,72.703,2.3333333333333335
40,216.0,76.965,2.0
41,224.66666666666666,80.13133333333334,2.0
42,179.66666666666666,81.51866666666668,2.3333333333333335
43,236.33333333333334,85.23566666666666,2.0
44,262.6666666666667,89.80866666666665,1.6666666666666667
45,215.0,85.757,1.6666666666666667
46,248.0,86.459,2.3333333333333335
47,186.33333333333334,86.40266666666666,1.6666666666666667
48,253.66666666666666,89.38266666666665,2.0
49,234.66666666666666,87.46333333333334,1.3333333333333333
50,258.0,88.47066666666667,3.0
51,250.66666666666666,89.57,8.666666666666666
52,213.33333333333334,89.805,2.6666666666666665
53,206.66666666666666,89.02366666666666,4.0
54,262.0,92.72466666666665,2.3333333333333335
55,226.0,90.603,32.333333333333336
56,206.0,90.979,1.3333333333333333
57,229.0,89.152,2.0
58,244.66666666666666,87.34866666666666,1.3333333333333333
59,231.66666666666666,92.549,2.0
60,267.6666666666667,92.55833333333332,2.3333333333333335
61,266.6666666666667,91.40366666666667,3.6666666666666665
62,248.33333333333334,90.48866666666666,3.0
63,235.66666666666666,91.19733333333333,3.0
64,195.0,98.09166666666665,2.3333333333333335
65,259.6666666666667,94.634,19.0
66,238.66666666666666,96.25566666666666,32.666666666666664
67,248.0,94.528,29.0
68,251.0,92.23733333333334,24.0
69,224.66666666666666,94.39366666666668,10.0
70,198.33333333333334,91.36166666666665,1.6666666666666667
